municipio_id	municipio	estado	tempo_habitual_desloc	qtd_pessoas	tempo_medio_minutos					
2701001	Boca da Mata	AL	120+	160	None					
2701001	Boca da Mata	AL	Total	5289	25					
2701100	Branquinha	AL	5	379	None					
2701100	Branquinha	AL	30	626	None					
2701100	Branquinha	AL	60	303	None					
2701100	Branquinha	AL	120	188	None					
2701100	Branquinha	AL	120+	24	None					
2701100	Branquinha	AL	Total	1520	30					
2701209	Cacimbinhas	AL	5	613	None					
2701209	Cacimbinhas	AL	30	1438	None					
2701209	Cacimbinhas	AL	60	410	None					
2701209	Cacimbinhas	AL	120	158	None					
2701209	Cacimbinhas	AL	120+	42	None					
2701209	Cacimbinhas	AL	Total	2661	24					
2701308	Cajueiro	AL	5	570	None					
2701308	Cajueiro	AL	30	2335	None					
2701308	Cajueiro	AL	60	470	None					
2701308	Cajueiro	AL	120	277	None					
2701308	Cajueiro	AL	120+	71	None					
2701308	Cajueiro	AL	Total	3724	26					
2701357	Campestre	AL	5	317	None					
2701357	Campestre	AL	30	685	None					
2701357	Campestre	AL	60	221	None					
2701357	Campestre	AL	120	95	None					
2701357	Campestre	AL	120+	17	None					
2701357	Campestre	AL	Total	1335	25					
2701407	Campo Alegre	AL	5	1100	None					
2701407	Campo Alegre	AL	30	4688	None					
2701407	Campo Alegre	AL	60	1451	None					
2701407	Campo Alegre	AL	120	427	None					
2701407	Campo Alegre	AL	120+	96	None					
2701407	Campo Alegre	AL	Total	7762	26					
2701206	Campo Grande	AL	5	484	None					
2701206	Campo Grande	AL	30	1340	None					
2701206	Campo Grande	AL	60	424	None					
2701206	Campo Grande	AL	120	131	None					
2701206	Campo Grande	AL	120+	18	None					
2701206	Campo Grande	AL	Total	2397	24					
2701605	Canapi	AL	5	1162	None					
2701605	Canapi	AL	30	2715	None					
2701605	Canapi	AL	60	508	None					
2701605	Canapi	AL	120	191	None					
2701605	Canapi	AL	120+	81	None					
2701605	Canapi	AL	Total	4655	22					
2701704	Capela	AL	5	778	None					
2701704	Capela	AL	30	2066	None					
2701704	Capela	AL	60	635	None					
